direction	method	n_source	n_target	source_cv_auc	best_H	best_wd	target_auc	auc_ci_low	auc_ci_high	pr_auc	brier	ece_10bin
GSE174188_to_GSE285773	deepsets	261	26	0.988527247786507	16	0.1	0.86875	0.7125	0.98125	0.9349549995913697	0.36513250401095926	0.39043821850900107
GSE174188_to_GSE285773	gatedmil	261	26	0.9762439206883652	16	0.1	0.90625	0.76875	1.0	0.9537319862155389	0.3426015409976873	0.42990426222726835
GSE174188_to_GSE285773	pma	261	26	0.9703828407532111	16	0.01	0.84375	0.66875	0.96875	0.9187888740502441	0.4548515434778251	0.5178440170694238
GSE174188_to_GSE285773	mean_pool_1152d	261	26				0.8625	0.7	0.9875	0.9342261904761904	0.6153846153782563	0.6153846153814359
GSE174188_to_GSE285773	pca32_donor_mean	261	26				0.84375	0.66875	0.96875	0.9076747037684538	0.6109880608546857	0.6131533401436021
GSE174188_to_GSE285773	hvg_pseudobulk	261	26				0.94375	0.84375	1.0	0.9656941597489198	0.5437778069835845	0.5646194381975258
GSE174188_to_GSE285773	pca_pseudobulk	261	26				0.98125	0.925	1.0	0.9901315789473684	0.1799702803427179	0.2882007277821907
GSE285773_to_GSE174188	deepsets	26	261	0.94375	16	0.1	0.7511535104127697	0.6937180446439706	0.8092031425364759	0.8710710356117108	0.33090221110206197	0.3291862914681165
GSE285773_to_GSE174188	gatedmil	26	261	0.9125	16	0.01	0.8289686993390697	0.7784574136425988	0.8783560917820176	0.91680050820582	0.33550849196045107	0.3500647452960439
GSE285773_to_GSE174188	pma	26	261	0.91875	16	0.01	0.8426237685496945	0.7952347549569772	0.8903853348297793	0.9212866130076964	0.30701958728832734	0.3096022720020141
GSE285773_to_GSE174188	mean_pool_1152d	26	261				0.8842748472378102	0.8426845616660431	0.9226228332709814	0.9356470617866328	0.21833408664639964	0.23671556498373333
GSE285773_to_GSE174188	pca32_donor_mean	26	261				0.8282204763686245	0.7775252525252526	0.875547138047138	0.9085800624844356	0.24972267712276944	0.1699508638300392
GSE285773_to_GSE174188	hvg_pseudobulk	26	261				0.9190672153635117	0.8875779398927547	0.9480624142661179	0.9540122076712126	0.15469788521523892	0.15229187049815568
GSE285773_to_GSE174188	pca_pseudobulk	26	261				0.9263000374111485	0.8959299788003492	0.9536132934281082	0.9595973951082332	0.15887682633072384	0.1921151481333269
